,0,1,2,3,4,5,6,7,8,9,time,num
0,0.535,0.52,0.51,0.51,0.54,0.58,0.505,0.505,0.51,0.515,2,10
1,0.515,0.505,0.505,0.51,0.525,0.57,0.505,0.535,0.5,0.54,3,10
2,0.545,0.555,0.525,0.5,0.52,0.54,0.525,0.55,0.51,0.545,4,10
3,0.545,0.54,0.51,0.505,0.55,0.545,0.52,0.53,0.51,0.545,5,10
4,0.54,0.51,0.505,0.5,0.545,0.565,0.505,0.57,0.5,0.53,6,10
5,0.535,0.505,0.5,0.5,0.515,0.57,0.52,0.56,0.51,0.525,7,10
6,0.55,0.515,0.51,0.525,0.505,0.56,0.52,0.55,0.52,0.555,8,10
7,0.54,0.52,0.515,0.515,0.52,0.565,0.525,0.575,0.515,0.515,9,10
8,0.505,0.52,0.52,0.52,0.525,0.555,0.515,0.555,0.525,0.53,10,10
9,0.55,0.525,0.505,0.51,0.51,0.595,0.555,0.59,0.52,0.51,20,10
10,0.51,0.525,0.51,0.525,0.52,0.58,0.525,0.615,0.53,0.535,30,10
11,0.51,0.555,0.505,0.545,0.53,0.585,0.515,0.615,0.535,0.53,40,10
12,0.505,0.54,0.53,0.56,0.55,0.515,0.5,0.65,0.545,0.535,50,10
13,0.5,0.54,0.52,0.58,0.54,0.53,0.535,0.65,0.555,0.54,60,10
14,0.5,0.535,0.55,0.575,0.565,0.54,0.545,0.545,0.6,0.545,70,10
15,0.51,0.54,0.545,0.575,0.57,0.515,0.545,0.54,0.655,0.545,80,10
16,0.515,0.605,0.55,0.555,0.59,0.515,0.545,0.53,0.715,0.54,90,10
17,0.53,0.59,0.565,0.545,0.61,0.51,0.55,0.975,0.7,0.535,100,10
18,0.53,0.62,0.555,0.925,0.665,0.555,0.725,0.98,0.945,0.535,150,10
19,0.575,0.925,0.625,0.995,0.985,0.595,0.83,0.99,0.965,1.0,200,10
20,0.605,0.93,0.76,0.975,0.995,0.605,0.97,0.965,0.97,1.0,250,10
21,0.905,0.945,0.82,0.975,0.995,0.61,0.97,0.955,0.975,0.995,300,10
22,0.89,0.95,0.83,0.995,0.995,0.925,0.955,0.955,0.95,1.0,350,10
23,0.915,0.975,0.865,0.985,1.0,0.925,0.98,0.99,0.94,0.98,400,10
24,0.915,1.0,0.995,1.0,0.995,0.92,0.985,0.995,0.975,0.98,450,10
25,0.9,1.0,0.995,1.0,0.99,0.925,0.99,0.99,0.985,0.98,500,10
26,1.0,0.995,1.0,1.0,0.995,0.93,0.99,0.99,0.995,0.98,550,10
27,0.99,0.995,1.0,0.985,0.995,0.965,0.995,0.99,0.995,0.98,600,10
28,0.995,0.995,0.98,0.985,0.995,0.965,1.0,0.985,1.0,0.995,650,10
29,1.0,0.995,0.985,1.0,0.995,0.995,1.0,0.985,1.0,1.0,700,10
30,1.0,0.995,0.99,0.98,1.0,0.995,1.0,0.985,1.0,1.0,750,10
31,1.0,0.995,0.99,0.985,0.99,0.995,1.0,0.985,1.0,1.0,800,10
32,1.0,0.995,0.995,0.98,0.99,0.995,1.0,0.99,0.995,0.99,850,10
33,1.0,0.995,1.0,0.98,0.99,0.99,1.0,0.99,0.995,0.99,900,10
34,1.0,0.995,1.0,0.985,0.99,0.99,1.0,1.0,1.0,1.0,950,10
35,1.0,0.995,1.0,0.985,0.99,0.99,1.0,1.0,1.0,1.0,1000,10
36,1.0,0.995,1.0,0.995,0.995,0.995,1.0,1.0,1.0,1.0,1050,10
37,1.0,0.995,1.0,0.995,1.0,0.995,1.0,1.0,1.0,1.0,1100,10
38,1.0,0.995,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1150,10
39,1.0,0.995,1.0,0.995,1.0,0.995,1.0,1.0,0.995,0.995,1200,10
40,1.0,0.995,1.0,0.995,1.0,0.99,1.0,1.0,0.995,1.0,1250,10
41,1.0,0.995,1.0,0.995,1.0,0.99,1.0,1.0,0.995,1.0,1300,10
42,1.0,0.995,1.0,0.995,1.0,0.995,1.0,1.0,0.995,1.0,1350,10
43,1.0,0.995,1.0,0.995,1.0,1.0,1.0,1.0,0.995,1.0,1400,10
44,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1450,10
45,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1500,10
46,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,0.995,1.0,1550,10
47,1.0,0.995,1.0,1.0,1.0,0.99,1.0,1.0,0.995,1.0,1600,10
48,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1650,10
49,1.0,0.995,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1700,10
50,1.0,0.995,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1750,10
51,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1800,10
52,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1850,10
53,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1900,10
54,1.0,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1950,10
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2000,10
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2050,10
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2100,10
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2150,10
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2200,10
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2250,10
61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2300,10
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2350,10
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2400,10
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2450,10
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2500,10
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2550,10
67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2600,10
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2650,10
69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2700,10
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2750,10
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2800,10
72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2850,10
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2900,10
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2950,10
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000,10
76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3050,10
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3100,10
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3150,10
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3200,10
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3250,10
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3300,10
82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3350,10
83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3400,10
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3450,10
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3500,10
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3550,10
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3600,10
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3650,10
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3700,10
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3750,10
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3800,10
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3850,10
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3900,10
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3950,10
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4000,10
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4050,10
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4100,10
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4150,10
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4200,10
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4250,10
101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4300,10
102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4350,10
103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4400,10
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4450,10
105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4500,10
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4550,10
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4600,10
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4650,10
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4700,10
110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4750,10
111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4800,10
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4850,10
113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4900,10
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4950,10
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5000,10
0,0.65,0.55,0.7,0.7,0.5,0.5,0.7,0.55,0.5,0.6,2,20
1,0.6,0.6,0.65,0.7,0.6,0.6,0.7,0.55,0.6,0.6,3,20
2,0.5,0.6,0.75,0.55,0.7,0.6,0.75,0.6,0.7,0.65,4,20
3,0.55,0.55,0.75,0.6,0.75,0.6,0.75,0.6,0.7,0.65,5,20
4,0.6,0.6,0.75,0.55,0.7,0.6,0.75,0.6,0.65,0.65,6,20
5,0.55,0.6,0.75,0.55,0.7,0.6,0.75,0.6,0.65,0.65,7,20
6,0.55,0.6,0.75,0.55,0.65,0.6,0.75,0.5,0.65,0.55,8,20
7,0.55,0.5,0.65,0.5,0.65,0.6,0.75,0.65,0.6,0.55,9,20
8,0.55,0.5,0.65,0.55,0.65,0.6,0.7,0.65,0.6,0.6,10,20
9,0.55,0.7,0.7,0.6,0.5,0.65,0.7,0.75,0.55,0.55,20,20
10,0.55,0.6,0.65,0.55,0.65,0.6,0.7,0.75,0.5,0.5,30,20
11,0.55,0.65,0.6,0.55,0.5,0.55,0.6,0.6,0.65,0.65,40,20
12,0.5,0.6,0.55,0.55,0.65,0.6,0.65,0.65,0.5,0.65,50,20
13,0.5,0.7,0.55,0.55,0.65,0.55,0.75,0.7,0.55,0.65,60,20
14,0.6,0.7,0.55,0.55,0.65,0.6,0.75,0.6,0.5,0.65,70,20
15,0.6,0.7,0.55,0.55,0.75,0.6,0.65,0.7,0.6,0.65,80,20
16,0.6,0.8,0.5,0.55,0.7,0.6,0.65,0.55,0.5,0.7,90,20
17,0.6,0.8,0.6,0.55,0.65,0.6,0.65,0.65,0.6,0.7,100,20
18,0.7,0.75,0.5,0.6,0.75,0.6,0.7,0.7,0.75,0.75,150,20
19,0.6,0.8,0.7,0.75,0.75,0.55,0.8,0.7,0.8,0.7,200,20
20,0.8,0.8,0.7,0.85,0.75,0.65,0.8,0.75,0.8,0.85,250,20
21,0.8,0.9,0.7,0.85,0.75,0.75,0.65,0.75,0.85,0.8,300,20
22,0.8,0.8,0.7,0.9,0.75,0.8,0.8,0.75,0.85,0.85,350,20
23,0.75,0.8,0.7,0.85,0.55,0.8,0.6,0.9,0.9,0.9,400,20
24,0.75,0.85,0.7,0.8,0.7,0.8,0.7,0.85,0.9,0.95,450,20
25,0.75,0.95,0.7,0.8,0.7,0.8,0.7,0.95,0.95,0.95,500,20
26,0.75,0.9,0.7,0.8,0.75,0.8,0.7,0.95,1.0,0.95,550,20
27,0.75,0.95,0.65,0.8,0.75,0.8,0.6,0.95,1.0,0.95,600,20
28,0.7,1.0,0.7,0.85,0.75,0.8,0.6,0.95,1.0,0.95,650,20
29,0.75,1.0,0.7,0.85,0.75,0.8,0.6,0.95,0.95,0.95,700,20
30,0.7,1.0,0.7,0.85,0.8,0.85,0.85,0.95,0.9,0.95,750,20
31,0.8,1.0,0.7,0.8,0.85,0.85,0.85,0.95,0.9,0.95,800,20
32,0.85,0.95,0.7,0.8,0.85,0.85,0.85,0.95,0.85,0.95,850,20
33,0.8,0.95,0.7,0.8,0.8,0.85,0.85,0.95,0.9,0.95,900,20
34,0.8,0.95,0.7,0.8,0.85,0.95,0.9,0.95,0.9,0.95,950,20
35,0.8,0.95,0.7,0.95,0.85,0.95,0.95,0.95,0.9,1.0,1000,20
36,0.85,0.95,0.7,0.95,0.85,0.95,0.95,0.95,0.9,1.0,1050,20
37,0.9,0.95,0.9,0.95,0.95,0.95,0.95,0.95,0.9,1.0,1100,20
38,0.95,0.95,0.9,0.9,0.95,0.95,0.95,0.85,0.9,1.0,1150,20
39,1.0,0.95,0.9,0.9,0.95,0.95,0.95,0.85,0.9,1.0,1200,20
40,0.85,0.95,0.9,0.9,1.0,0.95,0.95,0.85,0.9,1.0,1250,20
41,0.85,0.95,1.0,0.9,1.0,0.95,0.95,0.9,0.9,1.0,1300,20
42,0.95,1.0,1.0,0.9,1.0,0.9,0.95,0.9,0.9,1.0,1350,20
43,0.95,1.0,1.0,0.9,1.0,0.9,0.95,0.9,0.9,1.0,1400,20
44,1.0,1.0,1.0,0.95,0.95,0.9,0.95,0.9,0.9,1.0,1450,20
45,1.0,1.0,1.0,0.95,1.0,0.9,0.95,0.9,0.9,1.0,1500,20
46,1.0,1.0,1.0,0.95,1.0,0.9,1.0,0.9,0.9,1.0,1550,20
47,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.9,0.9,1.0,1600,20
48,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.9,0.9,1.0,1650,20
49,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.9,0.9,1.0,1700,20
50,1.0,1.0,0.95,0.95,1.0,1.0,0.95,0.9,0.9,1.0,1750,20
51,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.9,0.9,1.0,1800,20
52,1.0,1.0,0.95,0.95,1.0,1.0,0.95,0.95,0.9,1.0,1850,20
53,1.0,1.0,0.95,0.95,1.0,1.0,0.95,1.0,0.9,1.0,1900,20
54,1.0,1.0,1.0,0.95,1.0,1.0,0.95,1.0,0.9,1.0,1950,20
